year,month,day,hour,season,is_weekend,station_type,temperature_C,humidity_pct,wind_speed_kmh,rainfall_mm,traffic_density,vehicles_per_km2,industrial_proximity,population_density,green_cover_pct,PM2_5,PM10,NO2,SO2,CO,O3,Benzene,Toluene,dew_point_C,atm_pressure_hpa,visibility_km,wind_direction_deg,solar_radiation_wm2,cloud_cover_pct,road_dust_index,construction_activity_index,uv_index,pollen_count,mixing_layer_height_m,boundary_layer_temp_C,soil_moisture_index,aerosol_optical_depth,black_carbon_ugm3,organic_carbon_ugm3,secondary_organic_aerosol,nitrate_ugm3,sulfate_ugm3,ammonium_ugm3,methane_ppm,formaldehyde_ugm3,xylene_ugm3,heavy_metal_index,lead_ngm3,arsenic_ngm3,noise_level_db,light_pollution_index,waste_burning_index,crop_burning_index,diesel_generator_index,two_wheeler_density,power_plant_proximity,AQI
2022,4,15,12,Spring,0,Traffic,43.4,75.4,0.5,3.66,99.3,1178.0,2.0,92.0,5.6,193.1,287.0,114.7,51.9,3.64,63.9,8.51,17.8,29.0,999.2,10.6,0.6923,-0.7899,-0.5387,0.6857,0.0908,-1.9272,-0.6258,-2.1331,-1.4389,0.4311,1.1323,-0.8897,0.3861,0.5603,-0.0633,-0.7471,0.1274,-0.2799,-1.1905,-0.9045,-1.4359,-0.7698,-0.4418,0.601,-0.4236,0.559,-1.2012,1.4848,-0.0627,0.0685,330.4
2021,8,14,21,Monsoon,0,Traffic,25.1,41.1,28.0,1.19,53.7,645.0,5.2,86.0,6.1,103.5,156.4,67.1,30.3,2.15,68.6,4.49,9.75,17.2,1005.2,11.8,-1.4797,0.111,-1.8877,-0.0044,-0.2205,-1.0942,-0.1661,-0.4097,-0.5864,-0.8517,0.4725,-0.4791,0.2713,-0.5864,1.4076,0.8944,-0.8557,0.9483,-0.7619,-1.0739,-1.7083,-0.1501,-0.7024,-0.7896,-2.1192,0.221,0.2091,0.012,0.8013,-0.68,173.7
2021,7,19,14,Monsoon,0,Residential,24.7,60.2,14.3,2.03,42.5,511.0,10.0,118.0,5.9,166.2,241.7,106.5,,3.17,59.7,7.77,16.3,15.3,1005.0,10.8,0.4188,-0.3642,-0.7188,-0.3171,-1.2399,-0.1146,-0.1419,-1.6424,0.3278,-1.2075,-0.7442,-0.2868,0.1403,-0.464,-0.0555,0.1445,-1.4651,-0.8031,-1.6978,-0.4346,-1.1212,1.2475,0.2025,1.6516,-1.6155,-0.091,-1.4264,-1.4808,0.4282,-0.5357,337.0
2021,11,16,10,Autumn,0,Residential,17.3,32.8,1.9,0.5,80.3,974.0,10.0,86.0,3.4,262.9,390.7,159.6,76.3,5.28,48.6,12.11,25.51,11.5,1008.5,7.5,0.7992,-0.8581,-0.4729,1.6513,0.2719,-1.0574,-0.7962,-0.4947,-0.5962,-0.0063,0.4884,-1.126,1.0702,-0.1804,1.1009,-0.2027,0.0783,0.1404,-0.7979,-0.4337,1.1142,0.8216,1.3937,-0.1084,0.6948,0.246,1.7013,-2.2708,-0.8912,0.9791,337.1
2023,5,18,17,Spring,1,Residential,26.2,54.1,1.6,,,1271.0,4.3,113.0,15.5,227.9,338.8,136.2,61.3,4.43,49.0,10.21,21.28,17.6,1004.4,9.7,1.0434,1.8245,-0.5064,-0.3605,0.0744,0.7161,0.3226,0.2576,-0.9,-0.7077,-1.0769,0.1861,1.9408,-0.3408,0.0956,0.4847,-0.1044,0.4178,-2.0844,0.5393,0.5025,-0.0118,-0.1659,-1.0155,-0.7754,0.379,2.0026,-0.1722,0.2924,1.3521,270.9
2022,3,9,23,Spring,0,Residential,38.5,63.8,1.6,2.96,75.4,905.0,1.0,86.0,18.7,147.4,217.7,88.6,44.9,2.97,74.6,6.79,14.13,24.3,1001.6,10.5,0.8969,0.2604,0.7451,0.238,1.171,0.4122,0.7557,-1.6444,0.0672,-0.3186,-0.2764,1.2439,0.0655,-0.5943,1.089,-0.397,0.2026,0.3063,-0.491,2.5213,0.9832,0.1461,-0.2513,1.0221,-0.7698,-0.9312,-0.7172,0.1767,-0.7825,-1.1736,266.0
2020,2,21,11,Winter,0,Industrial,35.3,22.9,2.9,1.28,96.5,1158.0,2.1,89.0,5.4,194.9,297.8,117.2,58.1,3.93,66.9,8.79,18.35,22.2,1002.2,10.0,-0.7757,-0.5358,0.6154,-2.0839,-2.7893,-0.906,-0.2959,-0.4475,0.275,-0.1666,-0.56,-1.1241,0.0965,1.4073,1.1523,0.9775,-0.0866,0.6174,0.2651,-1.6747,0.6711,-1.0414,1.3963,-0.9242,-2.3635,-0.3963,0.6222,-0.804,0.7632,0.2821,194.0
2019,10,13,12,Autumn,0,Industrial,33.7,61.0,6.0,1.92,106.9,1287.0,2.6,64.0,3.7,227.5,339.6,137.4,65.5,4.66,64.9,9.64,20.41,21.2,1002.5,9.8,0.4913,1.2146,-0.4651,-0.8651,-0.9376,1.0102,-0.3449,-1.1204,-0.8729,1.8531,-0.1067,1.1848,0.5538,0.07,0.7415,-1.1779,0.1104,-0.8851,-0.5536,-0.2315,-2.6152,-0.373,2.0761,1.9152,0.0732,-0.0904,0.247,-0.137,-0.1311,0.5837,269.2
2022,11,24,21,Autumn,0,Industrial,30.9,62.0,4.5,1.22,42.0,496.0,1.0,61.0,8.4,,100.2,40.5,20.7,1.46,76.9,3.5,7.3,19.7,1004.8,13.0,-0.9264,-0.7351,-1.9583,-3.1516,-0.3164,-0.2962,0.0331,1.3546,0.7176,0.392,-0.2105,0.0892,-0.7585,0.2475,0.478,2.1312,0.1764,-0.1186,-1.0694,-0.1253,0.1221,-2.3376,0.0176,-2.2819,-0.4252,0.727,-1.0396,-0.8425,2.1271,-0.7934,171.1
2019,2,28,19,Winter,0,Residential,22.8,51.6,2.8,4.49,88.5,1053.0,1.2,110.0,5.5,187.0,281.1,110.8,53.8,3.88,55.7,8.38,18.07,16.7,1008.0,9.9,-1.5113,0.7887,0.6773,0.2898,-1.0593,-0.6228,-1.0711,-1.5539,-0.3875,-1.6989,-0.0873,0.6692,-0.4381,1.2964,-0.761,0.3169,0.8122,1.6596,0.9807,1.7029,0.3781,0.8722,-1.5812,-0.3038,-0.9138,1.571,-0.6304,-1.9107,0.5745,-0.4513,173.5
2021,9,18,20,Autumn,0,Industrial,12.9,,7.6,1.38,26.9,325.0,6.3,126.0,2.7,124.6,191.0,79.9,33.7,2.51,69.3,5.8,11.79,8.5,1008.7,13.0,-0.7621,0.8576,-1.0134,-0.4024,-0.7841,0.743,-0.7531,0.2857,-1.3201,0.8308,-0.3928,1.7599,0.0599,-1.9566,1.3738,1.5282,0.5983,-1.3583,0.2836,-0.8053,-0.9432,0.59,0.5054,0.3035,1.3602,-0.8218,0.1428,0.3231,0.4025,-0.0891,207.1
2022,11,9,16,Autumn,0,Traffic,24.2,53.2,1.2,3.69,75.6,924.0,10.0,90.0,16.9,264.0,393.4,154.7,73.0,5.15,40.8,12.26,26.02,16.1,1005.0,8.2,0.8237,-0.2764,-0.4963,-0.8274,0.4778,0.8919,0.613,-0.4618,-0.7771,1.4947,-1.9056,-0.8021,-0.9812,1.7847,1.1196,0.6093,-0.8903,-0.3882,0.3188,0.1985,0.3689,0.5304,0.7081,0.2191,-0.7182,0.9049,-0.5549,1.5494,-0.8337,-0.4343,350.0
2021,7,2,7,Monsoon,0,Traffic,23.9,53.2,2.8,,63.2,758.0,7.0,84.0,20.3,188.8,284.2,116.0,53.8,3.7,64.7,8.53,17.7,13.5,1006.3,11.0,1.0107,0.2022,1.3477,-0.1088,2.1261,-0.4943,-1.0837,1.2554,1.0141,1.4549,1.4026,0.2196,-0.8698,-1.5472,-0.3322,-1.8582,-0.5771,-1.6777,1.3095,1.4208,0.4243,0.147,0.7222,1.0411,0.1398,1.2084,-1.3118,0.3192,-0.4905,-0.4381,273.9
2019,9,13,12,Autumn,0,Residential,35.4,94.6,3.7,1.06,96.1,1160.0,2.2,110.0,3.6,199.5,294.1,114.3,,4.03,72.9,9.17,19.57,23.2,1001.3,11.0,0.1812,-0.7729,-0.6725,0.7651,0.9443,0.9873,-0.4558,0.541,-0.2923,0.5854,0.4503,-1.5185,-0.1253,0.5038,-0.8865,-0.442,-0.3928,-0.623,-1.1068,0.5085,0.7298,-0.3619,-1.663,1.2053,0.5525,-0.8675,0.1824,-0.5515,0.2178,0.3854,314.2
2022,10,28,13,Autumn,1,Residential,28.8,57.8,4.9,0.52,94.3,1130.0,5.4,95.0,6.5,211.0,317.8,127.9,60.5,4.38,62.9,9.37,19.56,18.1,1004.8,9.8,1.1752,0.3942,0.9802,1.3602,2.0535,-0.6871,0.8211,-1.8943,0.061,-0.94,-0.0819,-0.4857,-1.6354,0.0693,0.8612,0.3682,1.759,-0.6372,-0.1915,1.3646,0.5607,-0.1479,-2.0708,0.9041,-0.9901,0.1123,-0.293,0.2244,0.1108,1.6751,274.8
2019,2,9,1,Winter,1,Traffic,40.5,51.6,12.3,1.04,79.2,942.0,3.2,35.0,16.1,140.7,210.9,79.5,36.0,2.89,73.1,6.45,13.39,26.8,1002.4,10.9,0.0294,0.705,1.8243,1.4932,1.6064,0.2676,0.7756,-1.288,-0.7031,-0.413,-0.4816,-0.2543,-1.2017,0.709,-0.5665,1.6339,1.4012,-0.8495,-0.4264,0.345,1.2417,-0.5966,-0.1788,-0.9732,-1.9189,1.7479,0.1233,-0.9604,-0.5112,0.373,217.7
2023,12,2,10,Winter,0,Industrial,36.8,57.8,1.8,3.5,72.5,874.0,1.2,110.0,6.7,136.9,201.1,87.7,,2.89,73.2,6.26,13.24,25.7,1002.1,11.2,-0.0059,-0.1128,0.1717,-0.8743,0.2422,-0.5722,-1.5612,-0.9872,-0.6341,1.2587,-0.1216,-0.2765,1.4512,-0.1686,0.1883,0.1514,1.355,-0.4168,1.0722,0.6056,0.7272,-0.1568,0.7162,0.4181,-0.2101,-0.9388,-0.1445,-1.1575,-1.0357,0.316,249.7
2020,9,24,1,Autumn,1,Industrial,21.9,67.6,5.8,0.52,77.7,927.0,4.1,59.0,3.2,169.8,247.9,99.7,46.5,3.47,64.2,,15.33,11.7,1007.2,10.7,-0.5648,-0.4264,0.9093,2.3248,-0.2406,-0.5702,-0.9219,1.0096,-0.7941,-0.9045,0.3036,1.2143,1.6028,-1.5701,1.1643,0.4184,0.4838,0.6492,0.4159,0.454,-0.4134,-0.9961,0.4953,0.1855,-0.1758,-0.117,-0.952,-0.9098,0.4284,-0.3555,240.7
2023,7,2,5,Monsoon,0,Background,9.8,67.0,7.2,1.49,66.5,790.0,5.1,88.0,11.2,150.3,230.3,90.6,43.5,3.0,61.0,6.89,14.19,6.2,1011.7,10.0,0.942,-0.793,0.7844,-1.0468,0.2436,1.4834,1.1246,0.6289,1.0316,0.899,-0.2217,0.8219,1.0025,0.9872,-0.531,1.3328,0.2388,0.4305,-1.1055,0.9473,-0.5999,0.3958,-0.3749,0.0975,-1.1092,-0.2174,0.5603,0.1504,-0.5197,0.1402,179.7
2020,7,13,18,Monsoon,0,Residential,38.5,68.1,0.5,3.28,63.5,765.0,1.5,78.0,3.7,143.7,219.3,89.1,39.1,2.92,69.5,6.21,13.36,25.3,1001.8,11.6,-0.7638,0.0941,-1.7343,-0.3852,1.3824,-0.2514,-0.1991,0.6147,-0.6435,-0.9779,2.2013,-0.2574,-0.1598,-0.0235,-0.6884,-1.3067,0.2615,0.9354,-0.2592,-0.8777,0.1071,0.3067,-0.6762,-1.7288,0.2015,1.577,0.1773,-0.5879,-0.4224,0.4194,266.4
2022,3,2,4,Spring,0,Traffic,38.2,70.9,7.5,0.87,101.1,1217.0,1.0,74.0,16.7,173.2,262.0,100.7,50.4,3.51,72.6,7.83,16.22,23.6,1001.5,10.6,-0.876,0.4263,2.3477,-0.4423,-0.4452,0.4,0.4848,0.6876,-0.5401,-1.2218,2.9132,1.494,-1.294,-0.1125,0.8422,-1.9477,-0.6542,1.4144,0.5798,-0.4975,0.8046,-0.324,0.5894,-0.6161,1.0379,0.2691,0.9605,-1.5399,0.2661,0.6028,281.0
2022,1,25,8,Winter,0,Industrial,13.7,33.7,1.5,2.06,104.1,1262.0,2.2,89.0,4.5,214.5,326.9,129.0,61.5,4.35,54.3,9.89,20.96,9.2,1008.7,9.8,-0.5324,0.0546,-1.1021,-0.5714,0.2411,0.0626,0.6715,0.6851,0.2756,-0.5313,-0.618,0.2213,1.0384,-0.5235,1.7131,2.2962,1.4991,0.0455,-0.7992,0.432,-0.4209,-0.3365,-0.4205,0.7414,-0.4611,-1.3621,-0.4945,0.3362,1.6807,-0.5364,184.7
2022,4,15,11,Spring,0,Traffic,39.6,69.3,0.5,0.56,61.5,746.0,7.8,108.0,13.4,225.7,340.7,134.5,63.0,4.61,66.0,10.28,20.99,25.1,1000.7,9.9,0.2628,-0.329,-1.4563,-0.6051,-0.7309,0.0848,0.2055,-1.9242,1.3165,-0.2876,2.0618,-0.3109,-1.5126,-1.4991,-0.6736,0.4256,-0.5942,-0.6477,-0.6439,-0.5977,-0.417,-1.0571,1.9029,0.5339,0.4438,1.1152,-0.1808,0.889,0.0154,-1.6669,350.0
2022,7,15,1,Monsoon,1,Traffic,29.4,63.3,23.8,0.23,70.9,857.0,5.7,89.0,15.6,148.2,218.5,91.9,39.3,2.94,67.4,,14.26,18.0,1003.5,12.0,0.2323,0.6487,0.6824,0.2162,-1.6246,0.7951,-1.11,2.7909,1.0261,-1.1932,0.755,0.2273,2.1396,2.0866,-0.3831,-1.8531,-0.3051,0.1794,0.8301,-0.4247,0.614,0.6715,-0.6471,-1.5243,-0.1979,-1.1265,-0.3894,-1.0462,-0.3277,0.8629,219.8
2021,1,24,8,Winter,0,Industrial,27.4,48.8,27.0,3.16,67.0,813.0,2.3,119.0,4.3,84.5,127.5,53.8,26.2,1.74,66.1,3.51,7.47,18.6,1004.2,13.0,1.6656,-0.627,-0.5955,-0.8433,1.0666,0.6501,-1.3764,0.9178,0.051,-1.1749,1.0414,-0.5617,-1.6537,0.0799,-0.7261,-1.3292,-0.0218,0.4566,-0.2116,-0.4182,-0.4514,0.609,-1.7586,-0.048,0.672,-1.9188,-1.389,0.4379,1.0859,1.3927,150.9
2023,5,10,16,Spring,0,Residential,40.5,61.9,13.2,0.21,24.7,277.0,1.6,122.0,7.8,51.9,84.0,32.2,15.0,1.05,89.7,2.33,5.06,25.4,1000.5,13.6,-0.0625,1.9393,2.0631,-0.449,0.9717,0.9785,-0.5237,0.6671,-0.1279,-1.5095,2.2971,-0.7815,0.3985,0.8277,-0.4906,-0.9562,-1.5072,-1.4356,1.689,1.3527,-0.8553,-0.7226,0.0468,-0.2504,-2.4222,-0.8063,-2.7769,0.4479,0.6703,2.5253,231.4
2023,9,23,23,Autumn,1,Traffic,38.1,58.0,2.9,0.63,56.6,676.0,3.2,122.0,14.6,133.6,198.2,76.1,37.2,2.89,67.8,5.65,11.73,24.3,1001.7,10.9,0.7378,1.1488,-0.2463,2.4282,0.8757,-1.1713,1.0191,1.2624,-0.1284,2.1146,-0.5958,0.5031,1.1056,-0.2644,2.1193,0.9993,0.1302,0.1764,1.3724,-0.6813,-0.3665,1.7744,0.5894,0.7382,1.3502,-0.4651,-0.6312,-0.6871,0.1862,-1.0585,239.2
2019,9,1,7,Autumn,0,Traffic,31.9,59.6,0.8,3.86,105.0,1262.0,1.2,87.0,7.0,208.0,310.7,123.3,58.6,4.04,61.9,9.34,19.65,21.6,1002.9,9.5,0.344,-0.8926,0.5846,0.3744,1.2593,0.4056,0.2539,0.5611,1.8765,-0.5048,1.4175,0.4482,0.9132,-0.9676,0.8534,-0.1954,-0.2296,0.8521,-0.7942,-0.7175,0.7186,-0.2836,1.216,1.8644,-0.41,-1.5157,-0.0377,-0.3673,-0.9334,0.3933,247.6
2020,1,10,8,Winter,0,Traffic,30.3,63.1,,0.85,46.3,565.0,3.8,77.0,18.8,88.5,134.3,52.9,22.4,1.63,75.8,,,21.7,1003.4,13.2,-0.3773,-0.1982,-0.9176,0.4081,0.4974,1.8015,0.8622,0.0913,0.0992,-0.4376,1.6974,-0.053,-1.1879,1.3864,-0.8367,-1.5545,-1.3321,1.0051,-1.2426,-0.1035,0.0459,1.3386,0.7953,-1.7002,1.3006,0.4762,0.2511,-0.1563,-0.7462,-0.8985,211.8
2021,10,14,18,Autumn,1,Traffic,31.5,29.8,4.6,7.23,117.9,1400.0,2.9,87.0,8.3,,365.3,147.5,68.4,4.7,50.0,,22.57,19.8,1002.8,8.9,-0.1284,-0.6885,0.1808,-2.4957,-0.8056,0.4682,-0.7955,-0.4927,-0.1714,2.3968,-0.2991,-1.1175,-0.8934,1.1521,0.9759,0.8434,-0.834,-0.6698,-0.475,-0.6448,-0.0178,-0.3252,-0.2067,1.4273,0.8196,-0.6036,0.3774,0.122,0.2048,-0.3161,249.2
2023,1,7,1,Winter,0,Background,22.4,,1.0,7.8,94.3,1116.0,1.0,113.0,5.7,179.2,271.4,103.3,49.6,3.46,56.8,7.87,16.46,15.1,1007.1,10.5,2.0162,0.7077,-0.6265,-0.7459,-0.8092,-1.4501,0.5166,0.597,1.0418,0.1261,-0.1249,-1.3599,-0.4256,1.3469,0.3777,0.4921,-2.1944,-0.6082,-0.9213,-0.9451,-0.5642,-2.2412,-1.3104,-0.9615,2.4513,-0.4139,-1.4322,1.0387,-0.2594,-0.819,199.5
2019,9,13,12,Autumn,0,Residential,25.5,71.7,5.5,0.62,75.0,884.0,2.4,111.0,6.1,,222.2,89.5,42.2,2.95,75.6,7.04,14.68,17.7,1004.7,11.3,2.7537,0.7866,1.2588,0.4025,0.293,-0.7959,0.8477,0.8945,0.3694,1.0181,-0.7941,-0.8257,-0.8954,0.3553,-1.0949,-0.4939,2.1336,1.275,1.9795,-0.0718,0.4254,0.7372,0.57,2.1405,-1.0813,-0.8967,0.6476,0.6565,-2.0397,1.5697,218.1
2022,12,15,12,Winter,1,Traffic,17.9,64.4,0.5,0.08,79.0,943.0,1.0,31.0,20.6,161.0,241.9,100.5,45.5,3.06,64.0,7.52,16.05,10.9,1007.7,11.0,-0.4525,-2.7132,-0.596,1.1751,-0.0621,0.1893,1.3513,1.6336,1.8681,-1.1603,-0.7518,1.4868,0.0951,2.322,-1.2922,-0.4796,-0.6313,-0.2857,2.5132,-0.7207,1.2383,-0.7357,-0.4632,0.9702,-0.6983,-0.8973,-0.0696,0.249,-1.174,-0.8314,169.5
2023,3,8,18,Spring,0,Residential,23.0,46.9,19.2,2.44,42.1,508.0,4.0,95.0,31.7,79.8,120.1,47.2,18.9,1.76,76.5,3.1,6.44,13.6,1005.9,13.6,0.3447,-0.7385,0.2333,-0.8575,1.2674,0.944,0.4252,0.0369,-0.3238,2.0949,0.4449,-0.4954,0.1646,-1.5253,1.3853,-1.2871,0.9356,-0.1674,0.3837,0.293,-0.3103,-1.0862,0.6684,-0.6413,-2.1869,0.5043,0.1718,0.8862,-2.656,1.166,130.6
2019,11,17,10,Autumn,0,Industrial,22.7,44.5,2.4,1.2,58.4,686.0,1.1,36.0,23.0,110.9,168.9,66.5,27.0,2.25,78.4,5.25,10.92,14.9,1007.5,12.5,-1.7086,-0.1486,1.3423,0.8926,0.1042,-0.2668,0.7938,0.1884,0.7215,-0.1016,-0.6247,-1.59,-1.5718,0.9746,0.3097,-1.0924,-1.0189,-0.4908,1.0763,0.7947,0.2926,-2.5853,1.0055,-0.3195,-0.9807,-0.6122,-0.3222,-1.2244,-1.0526,0.6513,131.9
2023,7,25,11,Monsoon,0,Traffic,20.3,63.3,8.7,0.21,101.0,1209.0,1.0,88.0,17.1,177.3,260.5,100.9,46.3,3.6,64.5,8.04,16.75,13.7,1007.1,,0.3213,-0.1964,-2.2421,-1.554,-0.0099,0.7924,0.5394,-0.1332,0.1106,0.0346,-0.2385,-1.1106,-0.312,0.8985,-0.8108,-3.8111,-0.6755,-0.2181,-1.567,-0.8929,0.2816,0.4333,0.697,-0.3588,0.8019,2.328,-1.239,0.5005,0.8955,0.06,175.4
2022,10,9,19,Autumn,0,Residential,27.2,,,2.46,49.6,600.0,2.7,76.0,9.5,122.3,178.0,72.0,32.7,2.31,77.8,5.25,10.55,17.2,1005.0,12.2,0.2899,0.1259,-1.5831,-2.079,-1.7438,0.8877,-1.0602,-1.5094,-0.0838,-0.2026,1.5118,0.4778,0.4743,-0.6096,-0.2024,0.7244,-1.9764,0.035,-1.2657,0.1213,2.4585,-1.1252,-0.7308,1.0746,-0.0945,0.71,-1.0473,2.3426,0.1395,-0.8425,202.5
2021,11,5,7,Autumn,1,Industrial,23.1,83.6,,0.06,91.5,1097.0,2.5,70.0,7.4,180.7,270.6,110.1,50.1,3.64,43.9,8.1,16.91,14.3,1006.7,10.4,-0.4085,-0.7052,0.1862,0.5984,0.6532,-0.5755,1.7871,-0.5456,-0.1908,1.5726,1.1413,-2.0855,-1.0066,0.7406,1.2514,1.6377,1.609,-0.7476,-0.332,-0.1954,-0.379,0.9021,-1.5161,0.0456,1.634,-0.6362,-0.9801,1.1175,1.3677,-0.362,195.5
2020,9,3,20,Autumn,0,Industrial,30.5,73.8,6.3,4.08,30.6,352.0,4.1,107.0,9.0,90.2,135.2,51.7,21.9,1.83,95.1,3.93,8.19,17.6,1005.5,11.6,-0.2009,-0.6865,-1.6516,1.3289,0.0071,1.0152,-0.4243,-0.0796,0.537,-1.0886,-0.244,0.1171,-0.4482,-0.9921,-0.6135,1.8551,0.5628,-0.945,-0.8053,-1.5526,0.7177,-0.5693,1.2043,0.402,-1.4988,0.1756,0.8904,-0.3615,-0.3296,-2.204,232.6
